taxonId,scientificName,taxonRank,vernacularName,preferred,source
4300270,Callophrys henrici,species,Henry's Elfin,,Integrated Taxonomic Information System (ITIS)
1907711,Agraulis vanillae,species,Gulf Fritillary,,Integrated Taxonomic Information System (ITIS)
1918986,Phyciodes batesii,species,Tawny Crescent,,Integrated Taxonomic Information System (ITIS)
6953,Hesperiidae,family,Skippers,,Integrated Taxonomic Information System (ITIS)
6953,Hesperiidae,family,skipper,,The Paleobiology Database
1920494,Pieris napi,species,Green-veined White,,Catalogue of the Lepidoptera of Belgium
1920494,Pieris napi,species,Mustard White,,Catalogue of Life
1920494,Pieris napi,species,Weined White,,Catalogue of Life
1920494,Pieris napi,species,Sharp-veined White,t,Dyntaxa. Svensk taxonomisk databas
1925922,Celastrina ladon,species,Spring Azure,,Integrated Taxonomic Information System (ITIS)
1950349,Achalarus lyciades,species,Hoary Edge,,Integrated Taxonomic Information System (ITIS)
1905172,Speyeria cybele,species,Great Spangled Fritillary,,Integrated Taxonomic Information System (ITIS)
4299368,Vanessa cardui,species,Painted Lady,,Integrated Taxonomic Information System (ITIS)
5714374,Nymphalis vau-album,species,Compton Tortoiseshell,,Integrated Taxonomic Information System (ITIS)
5714374,Nymphalis vau-album,species,False Comma,,EUNIS Biodiversity Database
5714356,Polygonia satyrus,species,Satyr Comma,,Integrated Taxonomic Information System (ITIS)
5714356,Polygonia satyrus,species,satyr angle wing,,Integrated Taxonomic Information System (ITIS)
5714356,Polygonia satyrus,species,satyr anglewing,,Integrated Taxonomic Information System (ITIS)
5714375,Nymphalis milberti,species,Milbert's Tortoiseshell,,Integrated Taxonomic Information System (ITIS)
4299800,Satyrodes eurydice,species,Eyed Brown,,Integrated Taxonomic Information System (ITIS)
5714299,Danaus gilippus,species,Queen,,Integrated Taxonomic Information System (ITIS)
5977251,Erynnis martialis,species,Mottled Duskywing,,Integrated Taxonomic Information System (ITIS)
1942945,Euphyes conspicua,species,Black Dash,,Integrated Taxonomic Information System (ITIS)
1950384,Wallengrenia otho,species,Southern Broken-Dash,,Integrated Taxonomic Information System (ITIS)
7259487,Papilio glaucus glaucus,subspecies,eastern tiger swallowtail,,Integrated Taxonomic Information System (ITIS)
7205815,Limenitis arthemis arthemis,subspecies,White Admiral,,Integrated Taxonomic Information System (ITIS)
5714327,Limenitis arthemis astyanax,subspecies,Red-spotted Purple,,Integrated Taxonomic Information System (ITIS)
1942964,Euphyes bimacula,species,Two-spotted Skipper,,Integrated Taxonomic Information System (ITIS)
1924770,Feniseca tarquinius,species,Harvester,,Integrated Taxonomic Information System (ITIS)
1919939,Pyrisitia lisa,species,Little Sulphur,,Catalogue of Life
1919939,Pyrisitia lisa,species,Little Yellow,,Catalogue of Life
5130514,Junonia coenia,species,Common Buckeye,,Integrated Taxonomic Information System (ITIS)
1895138,Euphydryas phaeton,species,Baltimore Checkerspot,,Integrated Taxonomic Information System (ITIS)
5977220,Erynnis baptisiae,species,Wild Indigo Duskywing,,Integrated Taxonomic Information System (ITIS)
1912325,Boloria selene,species,Silver-bordered Fritillary,,Integrated Taxonomic Information System (ITIS)
1912325,Boloria selene,species,Small Pearl-bordered Fritillary,,National checklists and red lists for European butterflies
1912325,Boloria selene,species,silverbordered fritillary,,Integrated Taxonomic Information System (ITIS)
1912325,Boloria selene,species,Silver meadow,t,Dyntaxa. Svensk taxonomisk databas
5714392,Boloria bellona,species,Meadow Fritillary,,Integrated Taxonomic Information System (ITIS)
4299714,Coenonympha tullia inornata,subspecies,'Inornate' Common Ringlet,,Integrated Taxonomic Information System (ITIS)
5715127,Hylephila phyleus,species,Fiery Skipper,,Integrated Taxonomic Information System (ITIS)
1943964,Polites mystic,species,Long Dash,,Integrated Taxonomic Information System (ITIS)
1898431,Asterocampa clyton,species,Tawny Emperor,,Integrated Taxonomic Information System (ITIS)
1898416,Asterocampa celtis,species,Hackberry Emperor,,Integrated Taxonomic Information System (ITIS)
5130682,Nymphalis antiopa,species,Camberwell Beauty,,Catalogue of the Lepidoptera of Belgium
5130682,Nymphalis antiopa,species,Mourning Cloak,,Integrated Taxonomic Information System (ITIS)
5130682,Nymphalis antiopa,species,mourningcloak,,Integrated Taxonomic Information System (ITIS)
5130682,Nymphalis antiopa,species,mourningcloak butterfly,,Integrated Taxonomic Information System (ITIS)
5130682,Nymphalis antiopa,species,spiny elm caterpillar,,Integrated Taxonomic Information System (ITIS)
5129430,Polygonia comma,species,Eastern Comma,,Integrated Taxonomic Information System (ITIS)
5129374,Polygonia faunus,species,Green Comma,,Integrated Taxonomic Information System (ITIS)
5128357,Oeneis jutta,species,Baltic Grayling,,EUNIS Biodiversity Database
5128357,Oeneis jutta,species,Jutta Arctic,,Integrated Taxonomic Information System (ITIS)
5128357,Oeneis jutta,species,Forest Arctic,t,Dyntaxa. Svensk taxonomisk databas
1914439,Chlosyne harrisii,species,Harris' Checkerspot,,Integrated Taxonomic Information System (ITIS)
5977261,Erynnis lucilius,species,Columbine Duskywing,,Integrated Taxonomic Information System (ITIS)
5142269,Hesperia sassacus,species,Indian Skipper,,Integrated Taxonomic Information System (ITIS)
1946628,Poanes massasoit,species,Mulberry Wing,,Integrated Taxonomic Information System (ITIS)
1950396,Wallengrenia egeremet,species,Northern Broken-Dash,,Integrated Taxonomic Information System (ITIS)
5142424,Pyrgus communis,species,Common Checkered-Skipper,,Integrated Taxonomic Information System (ITIS)
5714750,Satyrium caryaevorus,species,Hickory Hairstreak,,Integrated Taxonomic Information System (ITIS)
4300303,Callophrys augustinus,species,Brown Elfin,,Integrated Taxonomic Information System (ITIS)
5129432,Polygonia progne,species,Gray Comma,,Integrated Taxonomic Information System (ITIS)
5132398,Limenitis archippus,species,Viceroy,,Integrated Taxonomic Information System (ITIS)
